"Estimate","Std..Error","Lower","Upper","LoD","Assay"
1.39276639184404e-09,5.39648739996677e-10,3.20659979169772e-10,2.4648728045183e-09,"1rep.LOD","Khapra"
7.80492630576009e-10,1.128429019318e-10,5.5631051020897e-10,1.00467475094305e-09,"2rep.LOD","Khapra"
6.11961206648126e-10,6.08474017290786e-11,4.91077222764991e-10,7.32845190531261e-10,"3rep.LOD","Khapra"
5.26549291401905e-10,6.63404422090499e-11,3.94752423846156e-10,6.58346158957654e-10,"4rep.LOD","Khapra"
4.72424461041773e-10,7.6562804461929e-11,3.20319086652378e-10,6.24529835431168e-10,"5rep.LOD","Khapra"
3.81014328510272e-10,9.48030269205812e-11,1.92671568545499e-10,5.69357088475044e-10,"8rep.LOD","Khapra"
